[2024-05-23T13:47:08.939] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:17:08.939Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:47:10.472] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:17:10.472Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"Pending","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:48:12.659] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:18:12.659Z","Ip":"::ffff:127.0.0.1","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:48:12.864] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:18:12.864Z","Ip":"::ffff:127.0.0.1","Request_Url":"/HundiScoreManagement/CustomerDashBoard","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:48:14.771] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:18:14.771Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:48:19.717] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:18:19.717Z","Ip":"::ffff:127.0.0.1","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:48:19.806] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:18:19.806Z","Ip":"::ffff:127.0.0.1","Request_Url":"/HundiScoreManagement/CustomerDashBoard","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:48:21.605] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:18:21.605Z","Ip":"::ffff:127.0.0.1","Request_Url":"/InvoiceManagement/CompleteInvoiceList","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller","FilterQuery":{"Business":"","Buyer":"","BuyerBusiness":"","CustomDateRange":{"From":"","To":""},"DateRange":"","SearchKey":"","Seller":"","StatusType":"All"},"InvoiceType":"","PageNumber":1},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:49:30.969] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:19:30.969Z","Ip":"::ffff:127.0.0.1","Request_Url":"/BusinessAndBranchManagement/IndustrySimpleListMobile","Request_Body":{},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
[2024-05-23T13:49:31.050] [INFO] Info - {"From":"APP","Date":"2024-05-23T08:19:31.050Z","Ip":"::ffff:127.0.0.1","Request_Url":"/HundiScoreManagement/CustomerDashBoard","Request_Body":{"CustomerId":"65af7dc88a5e9c37f099ab21","CustomerCategory":"Seller"},"If_Get":{},"Device_Info":{"ua":"Dart/3.3 (dart:io)","browser":{},"engine":{},"os":{},"device":{},"cpu":{}}}
